"EntrezID","Symbol","Description","P value"
"116211","TM4SF19","transmembrane 4 L six family member 19",0
"9447","AIM2","absent in melanoma 2",5.55111512312578e-15
"51127","TRIM17","tripartite motif containing 17",2.22044604925031e-14
"414196","CELF2-AS1","CELF2 antisense RNA 1",1.63091762317435e-13
"730249","ACOD1","aconitate decarboxylase 1",7.32969240857528e-13
"407006","MIR221","microRNA 221",1.1687317780229e-12
"10630","PDPN","podoplanin",1.36424205265939e-12
"497189","TIFAB","TIFA inhibitor",2.38775665906132e-12
"203328","SUSD3","sushi domain containing 3",2.81885625952327e-12
"5239","PGM5","phosphoglucomutase 5",3.43725048423948e-12
"121355","GTSF1","gametocyte specific factor 1",3.85291798465914e-12
"285972","LINC00996","long intergenic non-protein coding RNA 996",1.35513822385747e-11
"2312","FLG","filaggrin",1.51996193409332e-11
"6354","CCL7","C-C motif chemokine ligand 7",2.39603892282503e-11
"2889","RAPGEF1","Rap guanine nucleotide exchange factor 1",2.93732815848102e-11
"116985","ARAP1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",3.27970983704517e-11
"25927","CNRIP1","cannabinoid receptor interacting protein 1",4.53540538458697e-11
"10148","EBI3","Epstein-Barr virus induced 3",5.60471669075469e-11
"101929736","LINC01372","long intergenic non-protein coding RNA 1372",5.63091795413584e-11
"7094","TLN1","talin 1",9.51286827088893e-11
"114548","NLRP3","NLR family pyrin domain containing 3",9.85791448471218e-11
"3700","ITIH4","inter-alpha-trypsin inhibitor heavy chain family member 4",1.18897558465392e-10
"1996","ELAVL4","ELAV like RNA binding protein 4",1.28612898109282e-10
"6036","RNASE2","ribonuclease A family member 2",1.33114963496439e-10
"100125288","ZGLP1","zinc finger, GATA-like protein 1",1.39396161280558e-10
"4224","MEP1A","meprin A subunit alpha",1.42183598228485e-10
"2015","ADGRE1","adhesion G protein-coupled receptor E1",1.54386947670559e-10
"5777","PTPN6","protein tyrosine phosphatase, non-receptor type 6",1.66620051089694e-10
"653653","AC025048.6","NULL",1.72484582172672e-10
"3073","HEXA","hexosaminidase subunit alpha",1.73613790011018e-10
"101927150","L3MBTL4-AS1","L3MBTL4 antisense RNA 1",1.95646165934704e-10
"23313","KIAA0930","KIAA0930",2.0361112795797e-10
"102724360","AC002985.2","NULL",2.07143857622327e-10
"970","CD70","CD70 molecule",2.08777217736156e-10
"101928489","AL590428.1","NULL",2.32882380046817e-10
"23601","CLEC5A","C-type lectin domain containing 5A",2.65906185958897e-10
"5027","P2RX7","purinergic receptor P2X 7",2.81232148680033e-10
"9909","DENND4B","DENN domain containing 4B",2.84260393002e-10
"433","ASGR2","asialoglycoprotein receptor 2",3.33810312724836e-10
"3516","RBPJ","recombination signal binding protein for immunoglobulin kappa J region",3.48229778346365e-10
"160365","CLECL1","C-type lectin like 1",3.49883122474637e-10
"6810","STX4","syntaxin 4",3.63229113453656e-10
"23646","PLD3","phospholipase D family member 3",3.9627201520176e-10
"2316","FLNA","filamin A",3.99829058750356e-10
"5230","PGK1","phosphoglycerate kinase 1",4.01240041192352e-10
"6772","STAT1","signal transducer and activator of transcription 1",4.30463442668838e-10
"89832","CHRFAM7A","CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion",4.31551350210668e-10
"155038","GIMAP8","GTPase, IMAP family member 8",4.77617279059928e-10
"9404","LPXN","leupaxin",4.79546402587516e-10
"64499","TPSB2","tryptase beta 2 (gene/pseudogene)",5.32015320686696e-10
"50807","ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",5.33124655532902e-10
"23603","CORO1C","coronin 1C",5.39295719192978e-10
"91752","ZNF804A","zinc finger protein 804A",5.97044857997275e-10
"10666","CD226","CD226 molecule",6.09221784131364e-10
"663","BNIP2","BCL2 interacting protein 2",6.14383433017451e-10
"4615","MYD88","myeloid differentiation primary response 88",6.19075124497215e-10
"1326","MAP3K8","mitogen-activated protein kinase kinase kinase 8",7.88881404645281e-10
"93589","CACNA2D4","calcium voltage-gated channel auxiliary subunit alpha2delta 4",8.89776696766376e-10
"55340","GIMAP5","GTPase, IMAP family member 5",9.39881061867709e-10
"6819","SULT1C2","sulfotransferase family 1C member 2",9.71026148377518e-10
"9363","RAB33A","RAB33A, member RAS oncogene family",9.77089742448811e-10
"3939","LDHA","lactate dehydrogenase A",9.99478499963402e-10
"55361","PI4K2A","phosphatidylinositol 4-kinase type 2 alpha",1.00151820170424e-09
"1522","CTSZ","cathepsin Z",1.05042352593898e-09
"9560","CCL4L2","C-C motif chemokine ligand 4 like 2",1.09658460090145e-09
"1520","CTSS","cathepsin S",1.10409748010909e-09
"4066","LYL1","LYL1, basic helix-loop-helix family member",1.14079645729959e-09
"427","ASAH1","N-acylsphingosine amidohydrolase 1",1.15121356891734e-09
"39","ACAT2","acetyl-CoA acetyltransferase 2",1.16324239129995e-09
"4650","MYO9B","myosin IXB",1.16416720707946e-09
"51225","ABI3","ABI family member 3",1.17103815533426e-09
"123041","SLC24A4","solute carrier family 24 member 4",1.23105503568866e-09
"146183","OTOA","otoancorin",1.26634414066018e-09
"4286","MITF","melanogenesis associated transcription factor",1.29044330776651e-09
"10062","NR1H3","nuclear receptor subfamily 1 group H member 3",1.30329702585641e-09
"80342","TRAF3IP3","TRAF3 interacting protein 3",1.39299216606048e-09
"54","ACP5","acid phosphatase 5, tartrate resistant",1.45831136055818e-09
"79180","EFHD2","EF-hand domain family member D2",1.46725609440068e-09
"6352","CCL5","C-C motif chemokine ligand 5",1.50172008162031e-09
"53827","FXYD5","FXYD domain containing ion transport regulator 5",1.74213177217553e-09
"8767","RIPK2","receptor interacting serine/threonine kinase 2",1.7438663846292e-09
"10203","CALCRL","calcitonin receptor like receptor",1.7454174772169e-09
"56261","GPCPD1","glycerophosphocholine phosphodiesterase 1",1.79344072925858e-09
"79734","KCTD17","potassium channel tetramerization domain containing 17",1.85646209516221e-09
"6533","SLC6A6","solute carrier family 6 member 6",1.8823718139771e-09
"23406","COTL1","coactosin like F-actin binding protein 1",2.02081062994353e-09
"27181","SIGLEC8","sialic acid binding Ig like lectin 8",2.07399664109431e-09
"1509","CTSD","cathepsin D",2.15922280055736e-09
